"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","text-rare","font-semibold","text-super-rare","font-semibold 2","font-semibold 3"
"2283rd","https://www.soraredata.com/player/hector-alfredo-moreno-herrera","https://assets.sorare.com/player/14230be7-3aa9-4353-876e-b4fdf2b51fa3/picture/avatar-889a484ac7d233cc233119ad75f855eb.png","Héctor Moreno","Defender  - 35","38.8","80%  PLAYED","43.1","93%  PLAYED","45.6","85%  PLAYED","No sale","No sale","","No sale","",""
"2284th","https://www.soraredata.com/player/97288714209683194357784759070601837527760440192453803288388028837454830140558","https://assets.sorare.com/player/a0fe0bef-acf7-486f-9cb7-5344a08ced56/picture/avatar-a1d6cf98e3c8cd99dd4205d59461d557.png","Lionel Carole","Defender  - 31","39.2","40%  PLAYED","43.1","80%  PLAYED","46.1","85%  PLAYED","Ξ 0,0004","Ξ 0,0080","3-day average","Ξ 0,128","1-month average","Last public sale"
"2285th","https://www.soraredata.com/player/85814423167334646515871679450918409006099449324090861454607224629129134039461","https://assets.sorare.com/player/cf1c5701-7668-442c-a8e7-2650a6e0d2d0/picture/avatar-7ab6ea66abc941dab50ef3a1193ccb8d.png","Akim Zedadka","Defender  - 27","40.3","100%  PLAYED","43.1","80%  PLAYED","39.1","73%  PLAYED","Ξ 0,0010","Ξ 0,0119","7-day average","Ξ 0,0817","2-week average","Last public sale"
"2286th","https://www.soraredata.com/player/102464248727219378055959381768782747585595158831601928326864411951112676714770","https://assets.sorare.com/player/1ed85cdf-68d5-479c-906f-064fa3c31714/picture/avatar-77295b22613eeb9fe647e98b6b8c835c.png","Henry Onyekuru","Forward  - 25","30.4","80%  PLAYED","43.0","80%  PLAYED","45.3","80%  PLAYED","Ξ 0,0019","Ξ 0,0250","3-day average","Ξ 0,0830","3-day average","7-day average"
"2287th","https://www.soraredata.com/player/110927941338853643089963430648850586041322969367901862656351478122539770687576","https://assets.sorare.com/player/f6e55956-dc42-4794-9165-bf22d481dd83/picture/avatar-c87fc72545ff25b8c2dbf9e505173a81.png","Maxime Dupé","Goalkeeper  - 30","48.5","100%  PLAYED","43.0","100%  PLAYED","49.3","100%  PLAYED","Ξ 0,0093","Ξ 0,238","3-day average","Ξ 0,800","2-week average","1-month average"
"2288th","https://www.soraredata.com/player/30995350448077959472231219815547376385525056269793632096698966231695792851108","https://assets.sorare.com/player/b75798ef-f716-4b04-aa4e-0e474de3d071/picture/avatar-28478b173d18946c84c607d5bfe8e5d2.png","Samu Castillejo","Midfielder  - 28","44.8","100%  PLAYED","43.0","87%  PLAYED","43.0","55%  PLAYED","Ξ 0,0012","Ξ 0,0141","3-day average","Ξ 0,122","7-day average","7-day average"
"2289th","https://www.soraredata.com/player/105523494319479868204065325863553828110401700464307008318906628279183687031628","https://assets.sorare.com/player/15785661-e8d0-424a-a3fd-d7e3053bff26/picture/avatar-6783f1fda65edf03878d8810142af786.png","Renan Lodi","Defender  - 25","33.4","60%  PLAYED","43.0","87%  PLAYED","38.4","73%  PLAYED","Ξ 0,0010","Ξ 0,0140","3-day average","Ξ 0,176","7-day average","Last public sale"
"2290th","https://www.soraredata.com/player/114968141931649983105611541020456984482639647300892081181459431124698065229553","https://assets.sorare.com/player/432b4185-00f1-405a-bacd-9d0328170dfd/picture/avatar-b88e9639a1173b3cad27d0b525ec49b1.png","Tarik","Forward  - 35","43.5","100%  PLAYED","43.0","100%  PLAYED","39.5","93%  PLAYED","Ξ 0,0010","Ξ 0,0156","3-day average","Ξ 0,0500","7-day average","Last public sale"
"2291st","https://www.soraredata.com/player/111378193125020486355113365823611589909325484838911836692531472424218852585252","https://assets.sorare.com/player/2e2afbd0-4bbc-4c7a-8aa8-b3de8e1cd485/picture/avatar-f3d3be321b0a6b584915dda5fc5b242d.png","Kevin Agudelo","Midfielder  - 24","54.4","80%  PLAYED","43.0","87%  PLAYED","40.4","95%  PLAYED","Ξ 0,0021","Ξ 0,0228","7-day average","No sale","1-month average",""
"2292nd","https://www.soraredata.com/player/28404471799527436794727606734591351085099279539915845116587314289282447914737","https://assets.sorare.com/player/ec1bf1f3-4e43-427a-ae2d-256318a5cbee/picture/avatar-93204dbcfde66a4bafc0d8a73d7903af.png","Marcelo Brozović","Midfielder  - 30","47.5","100%  PLAYED","43.0","93%  PLAYED","43.8","63%  PLAYED","Ξ 0,0103","Ξ 0,0940","3-day average","Ξ 0,400","3-day average","1-month average"
"2293rd","https://www.soraredata.com/player/58214410410275146902008352814927391392910569351791081022628693589907679641179","https://assets.sorare.com/player/f26de754-fd88-4d93-8925-1f39ae8c62f9/picture/avatar-811b8310ada99a68278dfa76edc228b1.png","Cameron Humphreys","Defender  - 24","43.3","100%  PLAYED","43.0","100%  PLAYED","42.2","80%  PLAYED","Ξ 0,0006","Ξ 0,0234","3-day average","Ξ 0,180","Last public sale","Last public sale"
"2294th","https://www.soraredata.com/player/112036832427596335700300283113995408099231534461133333301983324624143623272311","https://assets.sorare.com/player/402b5497-fc95-49da-9b9d-d474eb073bcb/picture/avatar-a3d218594aabcb27dbd9214bfdca27f3.png","Damien Le Tallec","Midfielder  - 32","39.3","100%  PLAYED","43.0","93%  PLAYED","36.0","83%  PLAYED","Ξ 0,0004","Ξ 0,0094","3-day average","No sale","3-day average",""
"2295th","https://www.soraredata.com/player/40014226785860312812308744747366813747619628257282044412470463184682282922310","https://assets.sorare.com/player/e6acc57a-2eb0-4f6a-a6ec-522a6e50df37/picture/avatar-98fe1733555c3d411e818aa39b181320.png","Danijel Aleksić","Midfielder  - 31","47.0","80%  PLAYED","43.0","93%  PLAYED","39.7","95%  PLAYED","Ξ 0,0005","Ξ 0,0085","3-day average","Ξ 0,0987","3-day average","Last public sale"
"2296th","https://www.soraredata.com/player/68855881831977678963083321577442341013396195857207775645538679264380671597609","https://assets.sorare.com/player/f8a79790-09fe-4b75-9186-cbab221eaa5e/picture/avatar-d878d1bb6907eeccad007df6dd516e7f.png","Dylan Louiserre","Midfielder  - 28","44.1","100%  PLAYED","43.0","80%  PLAYED","46.0","83%  PLAYED","Ξ 0,0004","Ξ 0,0062","3-day average","Ξ 0,0682","7-day average","Last public sale"
"2297th","https://www.soraredata.com/player/55011469602640058655239439653670734862612754283890030338083947068566521706224","https://assets.sorare.com/player/96437c02-1996-41be-9370-2451ed3ddd56/picture/avatar-6aa3a7f41987021890a0997165ce3eb5.png","Marco Carnesecchi","Goalkeeper  - 22","39.3","80%  PLAYED","43.0","93%  PLAYED","46.5","50%  PLAYED","Ξ 0,0434","No sale","7-day average","No sale","",""
"2298th","https://www.soraredata.com/player/43134178262320639411494359128303073020898589223327047262399480800153205179061","https://assets.sorare.com/player/fc4b1020-bc0c-4bfb-86e6-2b23de46ad30/picture/avatar-cc496a31b99a8ab00c69c1dec774be80.png","Papiss Cissé","Forward  - 37","34.4","100%  PLAYED","42.9","93%  PLAYED","42.3","95%  PLAYED","Ξ 0,0004","Ξ 0,0090","3-day average","Ξ 0,0975","3-day average","Last public sale"
"2299th","https://www.soraredata.com/player/111670170126930738033859565487760332247448555150610833933073994102124096342064","https://assets.sorare.com/player/860c07a9-591e-4c8f-a455-90686e613e8a/picture/avatar-b81f01d0b7a5217da4b84f7d8ea7fefe.png","Kim Bo-Sub","Forward  - 25","44.4","80%  PLAYED","42.9","93%  PLAYED","43.6","93%  PLAYED","Ξ 0,0013","Ξ 0,0486","3-day average","Ξ 0,250","2-week average","1-month average"
