"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","font-semibold","text-rare","font-semibold 2","text-super-rare","font-semibold 3"
"324th","https://www.soraredata.com/player/111220020342116117744500994368953272941266840408138147188514583590424803526542","https://assets.sorare.com/player/42cb7108-48a1-43bd-bbd2-418f6e36ac66/picture/avatar-7303f1065e104e9563e189786748847e.png","Steven Bergwijn","Forward  - 25","55.9","100%  PLAYED","57.2","93%  PLAYED","53.7","93%  PLAYED","Ξ 0,0183","3-day average","Ξ 0,205","3-day average","Ξ 1,234","1-month average"
"325th","https://www.soraredata.com/player/114171482680227735224050814339214031736540246294619895052951699854932242937025","https://assets.sorare.com/player/9b93e8ba-2222-4463-a5da-0c4d234f178a/picture/avatar-317746d063a240c12c59b20c9ec39cb9.png","Ionuț Radu","Goalkeeper  - 25","54.8","60%  PLAYED","57.2","87%  PLAYED","49.4","63%  PLAYED","Ξ 0,0130","3-day average","Ξ 0,166","7-day average","Ξ 0,545","Last public sale"
"326th","https://www.soraredata.com/player/13876350883295583939568721325958980965039678082853156398126197750037270096885","https://assets.sorare.com/player/96d22857-5589-4826-90ff-ae1bb1a6f44f/picture/avatar-1ab63c3dd83f681052bc0dd5d9ec7e0c.png","Yoshinori Muto","Forward  - 30","53.7","100%  PLAYED","57.2","100%  PLAYED","50.7","90%  PLAYED","Ξ 0,0233","3-day average","Ξ 0,185","3-day average","Ξ 0,450","Last public sale"
"327th","https://www.soraredata.com/player/11882147785592714516160231342319990876232107554423856895193352204917022107705","https://assets.sorare.com/player/958bdb73-5866-4cc6-b93b-dbaeef59aa1c/picture/400974abc34e862e9df4b71cf1cae077.png","Arijanet Murić","Goalkeeper  - 24","68.0","40%  PLAYED","57.2","80%  PLAYED","55.5","85%  PLAYED","Ξ 0,0105","3-day average","Ξ 0,210","3-day average","Ξ 1,229","Last public sale"
"328th","https://www.soraredata.com/player/62505046172221776047278594693338941754654474423158586401553643232786708911974","https://assets.sorare.com/player/52e955ca-118b-47c8-870f-817dc76fdc9f/picture/avatar-388707471b4f32150b95c41f175b7591.png","Ademilson","Forward  - 29","57.1","60%  PLAYED","57.2","80%  PLAYED","53.4","75%  PLAYED","No sale","7-day average","Ξ 0,110","Last public sale","Ξ 0,475",""
"329th","https://www.soraredata.com/player/102139431720134259706702538489695662857377102197089655619309575707967644648345","https://assets.sorare.com/player/4944d9a2-7654-4721-ae03-3c6d3961855f/picture/avatar-9d4e83ad05b5ad0632782f786393ff4e.png","Alexander Prass","Midfielder  - 21","59.9","100%  PLAYED","57.2","93%  PLAYED","51.5","95%  PLAYED","Ξ 0,0046","3-day average","Ξ 0,0583","3-day average","Ξ 0,179","Last public sale"
"330th","https://www.soraredata.com/player/22103079139389565917651615685046930648678745919914607406560563428424892521498","https://assets.sorare.com/player/b61eb66b-8cd1-47b8-859c-dafdd8c1f827/picture/avatar-3c3965e844fce3a38743e23806027dc5.png","Hiroaki Okuno","Midfielder  - 33","57.9","100%  PLAYED","57.1","80%  PLAYED","55.8","93%  PLAYED","Ξ 0,0056","3-day average","Ξ 0,0575","3-day average","Ξ 0,538","Last public sale"
"331st","https://www.soraredata.com/player/108597546262157391035916222754673710248248158559385217004185106221267990346720","https://assets.sorare.com/player/67f45dc9-a306-441c-bc29-7b90f1c8f0ce/picture/avatar-d306aa65f7c034199320af49d07d2ca3.png","Cengiz Ünder","Forward  - 25","67.1","100%  PLAYED","57.1","100%  PLAYED","49.2","95%  PLAYED","Ξ 0,0119","3-day average","Ξ 0,124","7-day average","Ξ 0,497","7-day average"
"332nd","https://www.soraredata.com/player/46527148591436764479385264459737343777477702597430885867251323952781762941078","https://assets.sorare.com/player/91e084b5-6b48-4229-8fca-318b463ee67a/picture/avatar-20c03dec587716dbcdd6e8ea4bbdc31c.png","Clint Leemans","Midfielder  - 27","58.1","100%  PLAYED","57.1","100%  PLAYED","51.3","100%  PLAYED","No sale","Last public sale","Ξ 0,0300","","No sale",""
"333rd","https://www.soraredata.com/player/25061905428560657937118559151836362388025390392068692265494702816692937455687","https://assets.sorare.com/player/419386ce-206d-4243-b85e-26d6dd3c185e/picture/avatar-8b3c74bdb0a79fee3af7d38e1fa46883.png","Na Sang-Ho","Forward  - 26","70.7","100%  PLAYED","57.1","87%  PLAYED","49.9","80%  PLAYED","Ξ 0,0136","3-day average","Ξ 0,0812","3-day average","Ξ 0,355","1-month average"
"334th","https://www.soraredata.com/player/elias-jelert-kristensen","","Elias Jelert","Defender  - 19","59.3","80%  PLAYED","57.1","80%  PLAYED","49.0","70%  PLAYED","No sale","","No sale","","No sale",""
"335th","https://www.soraredata.com/player/luis-gerardo-chavez-magallon","","Luis Chávez","Midfielder  - 27","56.2","100%  PLAYED","57.1","100%  PLAYED","59.3","100%  PLAYED","No sale","","No sale","","No sale",""
"336th","https://www.soraredata.com/player/92376638568393528150026110437880918600485121588732484346111220475200797041576","https://assets.sorare.com/player/1ffb7c40-e920-48b9-b6b1-829de7552574/picture/avatar-7363712c80f8b1f2eee88619bacca27f.png","Alan Franco","Defender  - 26","55.2","60%  PLAYED","57.0","87%  PLAYED","57.6","88%  PLAYED","Ξ 0,0019","3-day average","Ξ 0,0351","2-week average","Ξ 0,840","Last public sale"
"337th","https://www.soraredata.com/player/56022534783937984221967223085280361846428954361090714881075721313387644065289","https://assets.sorare.com/player/440ccd7a-8513-4823-a5fc-0fb64ab0b46b/picture/avatar-0fd1d7c74a97bba774fa120ce061d47f.png","Nicolas Seiwald","Midfielder  - 22","59.2","100%  PLAYED","57.0","100%  PLAYED","56.2","98%  PLAYED","Ξ 0,0092","3-day average","Ξ 0,0770","3-day average","Ξ 0,653","Last public sale"
"338th","https://www.soraredata.com/player/2194454468672651902762471043167119238529767753493076995623249987449471109085","https://assets.sorare.com/player/9ed6f195-6e96-48e7-ab4d-3983d8f41855/picture/avatar-bc185fe104d6ebfd4201bdbf01f7f8c6.png","Hayato Araki","Defender  - 26","60.1","100%  PLAYED","57.0","87%  PLAYED","58.8","90%  PLAYED","Ξ 0,0085","3-day average","Ξ 0,102","3-day average","Ξ 1,168","Last public sale"
"339th","https://www.soraredata.com/player/8180667674666919732064807210858988398598000418657844225985901094733670633581","https://assets.sorare.com/player/cb216e81-16b9-4554-a40d-7287ba33405f/picture/avatar-bb1603ab7ae689467dada6fe319a6164.png","James Maddison","Midfielder  - 26","55.6","80%  PLAYED","57.0","80%  PLAYED","59.8","60%  PLAYED","Ξ 0,0139","3-day average","Ξ 0,146","3-day average","Ξ 0,807","3-day average"
"340th","https://www.soraredata.com/player/96727617477583157826894197834847966320676067836112694318160411278099607336926","https://assets.sorare.com/player/456915b4-b402-4e56-bc88-f178492aa121/picture/avatar-3260fae7012880c59793b595b2f08594.png","Ayase Ueda","Forward  - 24","61.4","100%  PLAYED","57.0","100%  PLAYED","50.0","90%  PLAYED","Ξ 0,0079","3-day average","Ξ 0,120","3-day average","Ξ 0,495","2-week average"
"341st","https://www.soraredata.com/player/22121290106138352631807577172485893609699741134945550974847133296079429154624","https://assets.sorare.com/player/04b69e90-71aa-4206-84ba-ea17bfd51c82/picture/avatar-4c697008a74f83484e7e70f907c30422.png","Luca Mazzitelli","Midfielder  - 27","54.0","100%  PLAYED","57.0","80%  PLAYED","52.6","70%  PLAYED","Ξ 0,0022","2-week average","Ξ 0,0542","Last public sale","No sale",""
"342nd","https://www.soraredata.com/player/35307689029699642693305237884407245930689794682836161221911445667882955193297","https://assets.sorare.com/player/701a4691-2aa7-48e8-a7f5-6452bf4571d7/picture/avatar-30ce517884f75d7d78b456319ef5f141.png","Dani Pereira","Midfielder  - 22","50.0","100%  PLAYED","57.0","87%  PLAYED","48.9","88%  PLAYED","Ξ 0,0062","3-day average","Ξ 0,0669","7-day average","Ξ 0,358","1-month average"
"343rd","https://www.soraredata.com/player/112212585591528915140249951105725469194904701449968387414003174768813078384706","https://assets.sorare.com/player/5a214590-e527-475e-8c56-26c0197dc5cb/picture/avatar-a6d08ef66561de85592345445f1c4ee9.png","Dwight McNeil","Forward  - 23","59.6","100%  PLAYED","57.0","100%  PLAYED","49.2","95%  PLAYED","Ξ 0,0067","3-day average","Ξ 0,0762","2-week average","Ξ 0,450","Last public sale"
"344th","https://www.soraredata.com/player/85833180161286617363287759440930555395582060645976835989133861744046956853792","https://assets.sorare.com/player/221ca345-8182-4733-827a-9a5e41310a06/picture/avatar-a75c3292a59ab79fef659b1653e4afd2.png","Ilan Kebbal","Midfielder  - 24","72.6","100%  PLAYED","56.9","87%  PLAYED","47.6","70%  PLAYED","Ξ 0,0055","3-day average","Ξ 0,0354","3-day average","Ξ 0,128","Last public sale"
"345th","https://www.soraredata.com/player/88831776086072404821094553197620234182101702962747575405299550603868762205969","https://assets.sorare.com/player/33127e7b-59cb-40f2-a736-b6f191de2b7f/picture/avatar-03280585de8ca13608f073a836da5bd1.png","Nikola Čavlina","Goalkeeper  - 20","61.4","100%  PLAYED","56.9","100%  PLAYED","51.3","65%  PLAYED","Ξ 0,0518","7-day average","Ξ 0,900","Last public sale","Ξ 0,195","Last public sale"
"346th","https://www.soraredata.com/player/41256476179681799981364078421486804860162909687954687059490679211524208857032","https://assets.sorare.com/player/ecbbeb98-e36d-485a-b45a-95572b697cc7/picture/avatar-b9f4b72c838050704953206d85c12533.png","Talles Magno","Forward  - 20","57.3","100%  PLAYED","56.9","87%  PLAYED","53.5","95%  PLAYED","Ξ 0,0257","3-day average","Ξ 0,265","7-day average","Ξ 2,163","Last public sale"
"347th","https://www.soraredata.com/player/100426687238219215671591071910847494157898847702788635606173021801608558830056","https://assets.sorare.com/player/69f23630-4145-4222-9291-f811bf737403/picture/avatar-9de4c79a944af61e2401dd62f8c46101.png","Marvin Ducksch","Forward  - 29","55.0","100%  PLAYED","56.9","100%  PLAYED","59.8","98%  PLAYED","Ξ 0,0064","3-day average","Ξ 0,0861","7-day average","Ξ 0,322","7-day average"
"348th","https://www.soraredata.com/player/110328015487932806039458154780145928560659167192057155739851755144449662822992","https://assets.sorare.com/player/a71908ca-60e4-4972-9edf-66cce07090f2/picture/avatar-603a19b99e9a8c88fa6ffa6d3cb93b83.png","Arda Güler","Midfielder  - 18","65.9","100%  PLAYED","56.8","87%  PLAYED","48.7","57%  PLAYED","Ξ 0,0490","3-day average","Ξ 0,369","3-day average","Ξ 1,785","Last public sale"
"349th","https://www.soraredata.com/player/84569585770179278525032181791882100777983134208898514648501633747547567975425","https://assets.sorare.com/player/64aa0414-fe9c-4caf-9652-1dcb731c9d6f/picture/avatar-3e40cde539833b76eb0e6bb02d0a10f5.png","Dawid Kownacki","Forward  - 26","55.7","100%  PLAYED","56.8","87%  PLAYED","55.9","75%  PLAYED","Ξ 0,0048","3-day average","Ξ 0,0613","3-day average","Ξ 0,339","Last public sale"
"350th","https://www.soraredata.com/player/92106342519233323162397986830028491487460571179081848330945835057437118812929","https://assets.sorare.com/player/10848aaa-4b0f-4b9c-8579-168b611bea4d/picture/avatar-f0e3b4d5cfe295b93a0167c602fa34f1.png","Adán","Goalkeeper  - 35","52.1","100%  PLAYED","56.8","93%  PLAYED","52.5","95%  PLAYED","Ξ 0,0142","3-day average","Ξ 0,399","Last public sale","Ξ 1,050","Last public sale"
"351st","https://www.soraredata.com/player/55916213563321169884661692422066108482825751435258867261347633475770945096700","https://assets.sorare.com/player/3cbcc892-eee5-47c9-a711-f36e1d641629/picture/b464c438470e4a8e85aa028872d49689.png","Obinna Nwobodo","Midfielder  - 26","47.0","60%  PLAYED","56.8","87%  PLAYED","53.4","85%  PLAYED","Ξ 0,0051","3-day average","Ξ 0,0399","7-day average","Ξ 0,248","2-week average"
"352nd","https://www.soraredata.com/player/3708304483837409305085280262482610897619206550335169867722185290979817425995","https://assets.sorare.com/player/acbc57fa-cf65-46f0-98b5-12509d000291/picture/avatar-7349c33d1d801f5bb212ad5704db46ca.png","Joško Gvardiol","Defender  - 21","55.6","100%  PLAYED","56.8","100%  PLAYED","57.2","95%  PLAYED","Ξ 0,0260","3-day average","Ξ 0,226","3-day average","Ξ 1,862","Last public sale"
"353rd","https://www.soraredata.com/player/41127213943277270760417371486203136016768362801561203009809113758772100082635","https://assets.sorare.com/player/36ac5faf-9114-41bc-8402-b75b29163f33/picture/avatar-587fcca9480bfa3e12e41eb8ae681124.png","Tristan Blackmon","Defender  - 26","58.7","100%  PLAYED","56.8","93%  PLAYED","45.8","83%  PLAYED","Ξ 0,0031","3-day average","Ξ 0,0286","3-day average","Ξ 0,101","Last public sale"
"354th","https://www.soraredata.com/player/74804408474135319055664086906521830632063155380997895077610434916999941985097","https://assets.sorare.com/player/cbe4bd5c-e9d6-4453-a278-b04f716798d9/picture/avatar-4bddabeeaa4f419d5f353d6ba8f157fb.png","Ben Wilson","Goalkeeper  - 30","57.8","100%  PLAYED","56.8","100%  PLAYED","53.3","100%  PLAYED","Ξ 0,0092","3-day average","Ξ 0,213","3-day average","Ξ 0,975","Last public sale"
"355th","https://www.soraredata.com/player/55587099407042015164261578349075527001053562627081316611067965974795517431919","https://assets.sorare.com/player/dea8b01d-0dcc-4f1d-b2b9-a7b24713fcd7/picture/avatar-6c051bab57563514c579be15ec693aea.png","Łukasz Skorupski","Goalkeeper  - 31","54.7","100%  PLAYED","56.8","80%  PLAYED","48.9","78%  PLAYED","Ξ 0,0235","7-day average","Ξ 0,825","Last public sale","No sale",""
"356th","https://www.soraredata.com/player/27802571830391924769468597240787927409787980550411839087851246248122513296323","https://assets.sorare.com/player/1bcd6f42-31bc-493e-8d0d-0f3d130a0463/picture/avatar-4ac2310d014138066df1a9e519c6d3b5.png","Francesco Acerbi","Defender  - 35","52.9","100%  PLAYED","56.8","93%  PLAYED","52.7","95%  PLAYED","Ξ 0,0037","3-day average","Ξ 0,0234","2-week average","Ξ 0,204","Last public sale"
"357th","https://www.soraredata.com/player/18009585876927663116322030087687291247465174998946189404642966079068701100148","https://assets.sorare.com/player/4c97ef6d-21d2-43a2-b7f1-935661122ff6/picture/avatar-d4cc0fafc8fd955c53d70e7ffa54ba9c.png","Callum Doyle","Defender  - 19","45.6","100%  PLAYED","56.8","100%  PLAYED","50.1","93%  PLAYED","Ξ 0,0038","3-day average","Ξ 0,0522","3-day average","Ξ 0,287","7-day average"
"358th","https://www.soraredata.com/player/28924348233223700409130912446420748274758717252524085360021322435731151372098","https://assets.sorare.com/player/bbf98416-40ef-4c5d-8ae2-8ad03063bcb6/picture/avatar-252a8494049a931bb09a2546b64e2d83.png","Carlens Arcus","Defender  - 26","55.7","100%  PLAYED","56.8","80%  PLAYED","53.8","90%  PLAYED","Ξ 0,0013","2-week average","Ξ 0,0143","1-month average","Ξ 0,270","Last public sale"
"359th","https://www.soraredata.com/player/54671007334123223512598741531693224350736835423470734103699231013061532191893","https://assets.sorare.com/player/308450aa-fdea-4bf8-bbb6-25317e25dbb8/picture/avatar-e129d7f1e1e3a306666c137043069478.png","Malcom Bokele","Defender  - 23","56.4","80%  PLAYED","56.8","80%  PLAYED","56.6","63%  PLAYED","Ξ 0,0039","3-day average","Ξ 0,0338","2-week average","Ξ 0,686","Last public sale"
"360th","https://www.soraredata.com/player/52814108629703278547567949075601278402283585542365738635171355481024841004440","https://assets.sorare.com/player/bc00301c-c388-4157-bc64-c599562e7935/picture/avatar-35d1c09c894c4d18a05670852930136d.png","Wílmar Barrios","Midfielder  - 29","53.1","80%  PLAYED","56.8","87%  PLAYED","58.7","93%  PLAYED","Ξ 0,0174","7-day average","Ξ 0,120","Last public sale","Ξ 1,120","Last public sale"
"361st","https://www.soraredata.com/player/16543304379014582488123275595960116256936138776065630278612711965899446281982","https://assets.sorare.com/player/e01e407c-03b6-4285-9f88-e074ce87fb15/picture/avatar-f6b91f92bf23a2524a0f133f347a1447.png","John Stones","Defender  - 28","59.7","100%  PLAYED","56.7","80%  PLAYED","56.7","65%  PLAYED","Ξ 0,0142","3-day average","Ξ 0,0616","2-week average","Ξ 0,452","Last public sale"
"362nd","https://www.soraredata.com/player/115438017442975093386447885972486143780454690268818945749482819015971485368368","https://assets.sorare.com/player/b4386bd2-264c-4b04-b1d5-db6dd6920252/picture/avatar-81e7a0a712b0c87d2a18ac54c427839d.png","Edmond Tapsoba","Defender  - 24","59.2","80%  PLAYED","56.7","93%  PLAYED","52.1","95%  PLAYED","Ξ 0,0074","3-day average","Ξ 0,0612","2-week average","Ξ 0,390","2-week average"
"363rd","https://www.soraredata.com/player/89240944596761531134566896149757073034320255261326660001468647382045364465624","https://assets.sorare.com/player/41b09313-6498-48df-b322-66bc85ba8ac1/picture/avatar-1e2823fcb6c1c47a2a7b290e592d4ca8.png","Benjamin Sesko","Forward  - 19","57.8","100%  PLAYED","56.7","87%  PLAYED","47.7","95%  PLAYED","Ξ 0,0238","3-day average","Ξ 0,242","2-week average","Ξ 1,440","Last public sale"
"364th","https://www.soraredata.com/player/68817669764236030182894702805690511943355197244974841413696388416517921077976","https://assets.sorare.com/player/65956bb9-751a-43cf-84e1-bd34619c542d/picture/avatar-ba1f0a53b0f1a59111159205626aba23.png","Jordy Clasie","Midfielder  - 31","55.0","100%  PLAYED","56.7","93%  PLAYED","57.1","93%  PLAYED","Ξ 0,0029","3-day average","Ξ 0,0390","7-day average","Ξ 0,328","Last public sale"
"365th","https://www.soraredata.com/player/12134841008869935860746485843573415387196302973734578258214536608067652712584","https://assets.sorare.com/player/ecaa0f2b-a3f9-492b-91ea-a1f9f03025bc/picture/avatar-6b70f3afaed353daff525139641df38f.png","Ko Itakura","Defender  - 26","59.3","100%  PLAYED","56.7","100%  PLAYED","54.2","75%  PLAYED","Ξ 0,0028","3-day average","Ξ 0,0482","3-day average","Ξ 0,222","2-week average"
"366th","https://www.soraredata.com/player/96327399911199122482860226059823017385099109925338909836086752623918199552428","https://assets.sorare.com/player/92e06aeb-8377-4e8e-9287-50bb81e98d8b/picture/avatar-381a46b894539f67f0eb1b873b8ae403.png","Jeremy Ebobisse","Forward  - 26","54.1","100%  PLAYED","56.7","100%  PLAYED","56.1","100%  PLAYED","Ξ 0,0157","3-day average","Ξ 0,120","3-day average","Ξ 0,624","1-month average"
"367th","https://www.soraredata.com/player/67293878572337845588658391199401378353808488766067642168405152401868724600514","https://assets.sorare.com/player/91bb336e-171b-4f37-bec6-6e1189f3d836/picture/avatar-afad3baec053cf1658fa4910bea60578.png","Melle Meulensteen","Defender  - 23","71.9","100%  PLAYED","56.7","100%  PLAYED","52.6","93%  PLAYED","Ξ 0,0036","3-day average","Ξ 0,0354","2-week average","Ξ 0,241","2-week average"
"368th","https://www.soraredata.com/player/5398543685698315682471812346478306595689049448783223630986483749252147856196","https://assets.sorare.com/player/cd78879c-c314-48c1-a8f8-4552e022ba00/picture/avatar-e31ad676be6a8a1cf9c66f0d159dc824.png","Giuseppe Caso","Forward  - 24","54.9","80%  PLAYED","56.7","93%  PLAYED","48.7","93%  PLAYED","No sale","Last public sale","Ξ 0,0900","Last public sale","Ξ 0,436",""
"369th","https://www.soraredata.com/player/86875170190319249724897598772893001572482616310608040730799978127684398179539","https://assets.sorare.com/player/2f1f688e-df8c-474f-8e6f-62551b79d32f/picture/avatar-8530ab57694d6a471dfe374d6c7d5979.png","Manu Fuster","Midfielder  - 25","48.8","100%  PLAYED","56.6","93%  PLAYED","NA","0%  PLAYED","Ξ 0,0022","3-day average","Ξ 0,0309","3-day average","Ξ 0,248","Last public sale"
"370th","https://www.soraredata.com/player/62152342471702047524442731766591177544407090980490262705108899051420893466039","https://assets.sorare.com/player/f114d34b-2fbc-4a61-bef1-19d9a603515c/picture/avatar-827e756d982cc38fe7e18c2afca62b86.png","Sébastien Salles-Lamonge","Midfielder  - 27","66.2","100%  PLAYED","56.6","93%  PLAYED","53.0","98%  PLAYED","Ξ 0,0021","3-day average","Ξ 0,0227","3-day average","Ξ 0,132","1-month average"
"371st","https://www.soraredata.com/player/113586047272753701996227438336690157789395607586176985309454829324447401196335","https://assets.sorare.com/player/6996cde4-80b8-439b-834b-04621dbb686e/picture/avatar-c8f2a5db0d7a33283ed1bd84b9d512f5.png","Eduard Spertsyan","Midfielder  - 22","55.4","100%  PLAYED","56.6","93%  PLAYED","62.2","85%  PLAYED","Ξ 0,0232","7-day average","Ξ 0,156","2-week average","Ξ 0,938","Last public sale"
"372nd","https://www.soraredata.com/player/14143643521452736676442432462729726363296319852555155239217773296111842454701","https://assets.sorare.com/player/be00b2d3-0aab-43f8-8491-5404be1c8c67/picture/avatar-b8003141c88c688088e8a0a2114e77ff.png","Matt O’Riley","Midfielder  - 22","66.8","100%  PLAYED","56.6","100%  PLAYED","56.0","98%  PLAYED","Ξ 0,0151","3-day average","Ξ 0,127","7-day average","Ξ 0,433","Last public sale"
"373rd","https://www.soraredata.com/player/115516026915135008841173011875669873329585254396681285394839998527611749704661","https://assets.sorare.com/player/caf469f6-9efb-4df7-b84e-3cdd32b0859f/picture/avatar-0f7ee00907d620cd43a708735fa9d0dd.png","Matías Melluso","Defender  - 24","68.0","60%  PLAYED","56.6","80%  PLAYED","53.1","68%  PLAYED","Ξ 0,0041","3-day average","Ξ 0,0591","3-day average","Ξ 0,315","Last public sale"
"374th","https://www.soraredata.com/player/36882557525242549345267036105004179728202005531332316291078156331505729163732","https://assets.sorare.com/player/c8f6b53e-5389-4b93-8854-61bf0a7c13ba/picture/avatar-bc8115fc9dc6ad6d9bcf75c949c56d4f.png","Hiroki Ito","Defender  - 23","64.6","60%  PLAYED","56.6","87%  PLAYED","54.0","83%  PLAYED","Ξ 0,0029","3-day average","Ξ 0,0324","3-day average","Ξ 0,221","2-week average"
"375th","https://www.soraredata.com/player/91962094844240180235334444270181722277763119895306685185275292066215386420514","https://assets.sorare.com/player/b918f9e5-6a8d-431c-ad08-23fdc63b56d9/picture/avatar-68a42ffe5e71057011fda9c83acc265f.png","Semih Güler","Defender  - 28","55.9","80%  PLAYED","56.5","93%  PLAYED","50.1","68%  PLAYED","Ξ 0,0011","3-day average","Ξ 0,0224","3-day average","Ξ 0,0480","Last public sale"
"376th","https://www.soraredata.com/player/7477011061974525078486600951096761597271462880180713535485801621339009580485","https://assets.sorare.com/player/01ef78e3-66be-465b-b368-ab45a4ce05eb/picture/avatar-5f6e3883c03f103bb73bd18b1202cc34.png","Viktor Claesson","Midfielder  - 31","63.0","100%  PLAYED","56.5","93%  PLAYED","53.8","98%  PLAYED","Ξ 0,0081","1-month average","Ξ 0,0690","1-month average","Ξ 1,250","Last public sale"
"377th","https://www.soraredata.com/player/51749601435438702092664067783143834821822111138022400424618758562795073089737","https://assets.sorare.com/player/1e0d005d-1308-4054-b225-1c719a789636/picture/avatar-0f022fc8a54693be4e3cc681ca528162.png","Pablo De Blasis","Midfielder  - 35","46.2","100%  PLAYED","56.5","100%  PLAYED","54.8","98%  PLAYED","Ξ 0,0007","3-day average","Ξ 0,0148","7-day average","Ξ 0,154","1-month average"
"378th","https://www.soraredata.com/player/109692940261657158286825437331567655669438910297515769856030371184987317003226","https://assets.sorare.com/player/a47e0320-8e86-4f2b-a493-01cda4eac4cf/picture/avatar-2e3dc967e5cb0daa00782ca05c7cbae5.png","Pêpê Rodrigues","Midfielder  - 25","60.4","100%  PLAYED","56.5","93%  PLAYED","53.7","70%  PLAYED","Ξ 0,0014","3-day average","Ξ 0,0362","2-week average","No sale",""
"379th","https://www.soraredata.com/player/61137427421663572909426839926199182992661241677215160050574840237868066111404","https://assets.sorare.com/player/db75656a-e8d3-4aa2-ad18-7e2db5f3818d/picture/avatar-89f88393a30c3422748e4432b508dff5.png","Jurriën Timber","Defender  - 21","56.3","80%  PLAYED","56.4","93%  PLAYED","52.4","95%  PLAYED","Ξ 0,0180","3-day average","Ξ 0,158","3-day average","Ξ 2,632","Last public sale"
"380th","https://www.soraredata.com/player/49187112622761026830658008670900748602338928902199659531239990731923829554365","https://assets.sorare.com/player/5b98bbde-0009-4e80-8d4b-82e415b15330/picture/avatar-c64ab431f2e7494629ae31bb7fdba241.png","Kelechi Nwakali","Midfielder  - 24","49.6","80%  PLAYED","56.4","93%  PLAYED","56.1","80%  PLAYED","Ξ 0,0011","3-day average","Ξ 0,0225","2-week average","Ξ 0,384","Last public sale"
"381st","https://www.soraredata.com/player/18852198084463310138504481965613103669306419835546267353152409691662463891410","https://assets.sorare.com/player/cf25d8ec-ff49-4057-88d9-c5927419f413/picture/avatar-78a8e919d3b7a0751aad3098bba1fa2a.png","Mike Trésor","Midfielder  - 23","63.4","100%  PLAYED","56.4","100%  PLAYED","61.6","90%  PLAYED","Ξ 0,0173","3-day average","Ξ 0,0997","3-day average","Ξ 0,650","Last public sale"
"382nd","https://www.soraredata.com/player/18393237412795453572987818864923321080198374193718786451749392462274168131320","https://assets.sorare.com/player/23271d0d-9e7c-423e-bd77-c28ff069b128/picture/avatar-6be00aa7fcf313b72240dc4ba370ec1c.png","Pichu Cuéllar","Goalkeeper  - 38","60.5","100%  PLAYED","56.4","100%  PLAYED","54.1","55%  PLAYED","Ξ 0,0041","3-day average","Ξ 0,0810","7-day average","Ξ 0,205","1-month average"
"383rd","https://www.soraredata.com/player/30380466377761119245875030940797845303133093924776792853224440306848496157888","https://assets.sorare.com/player/b128567f-55ae-46e4-aeb7-e28ccdc30cef/picture/avatar-b7951a1100b5e8a278caa3f42fd197bd.png","Seo Min-Woo","Midfielder  - 25","49.6","100%  PLAYED","56.4","100%  PLAYED","47.9","100%  PLAYED","Ξ 0,0016","3-day average","Ξ 0,0245","7-day average","Ξ 0,142","3-day average"
"384th","https://www.soraredata.com/player/22643150306289117698802548227372678203973701027932724551523249344906258506620","https://assets.sorare.com/player/1303369d-8867-4c49-82f7-090fb7371e1e/picture/avatar-f1b1a64a304d19b4c789313265ec44b3.png","Ibrahima Konaté","Defender  - 23","57.9","80%  PLAYED","56.4","87%  PLAYED","54.2","60%  PLAYED","Ξ 0,0180","3-day average","Ξ 0,138","2-week average","Ξ 1,437","Last public sale"
"385th","https://www.soraredata.com/player/103885573351535548345401995884475452535315892207828772183697645847600020405716","https://assets.sorare.com/player/32d7cae1-6a92-45be-9b1f-ee614f78c3af/picture/avatar-5b80d32ef31fe04740a11ef069b842a9.png","Róger Guedes","Forward  - 26","60.7","100%  PLAYED","56.4","100%  PLAYED","49.9","98%  PLAYED","Ξ 0,0184","3-day average","Ξ 0,200","7-day average","Ξ 0,678","2-week average"
"386th","https://www.soraredata.com/player/112756297659296006447100640672352083092248418454348492423516165765740551586442","https://assets.sorare.com/player/08946b55-83eb-4294-9e06-6ec05dbec3cb/picture/avatar-bcf27de459fa7a09f0046f427dafca5b.png","Daihachi Okamura","Defender  - 26","49.0","100%  PLAYED","56.4","100%  PLAYED","52.7","90%  PLAYED","Ξ 0,0031","3-day average","Ξ 0,0512","1-month average","Ξ 0,300","Last public sale"
"387th","https://www.soraredata.com/player/46909130941731592938118601102551291916351246219100292129072783533899897065807","https://assets.sorare.com/player/3e114456-b34f-4a1c-a410-29e1588fc816/picture/avatar-28ae2ad96907920c5418195316da149e.png","Michael Pinto","Defender  - 29","59.0","100%  PLAYED","56.4","100%  PLAYED","55.4","100%  PLAYED","Ξ 0,0016","3-day average","Ξ 0,0286","3-day average","Ξ 0,300","Last public sale"
"388th","https://www.soraredata.com/player/94672290041625910151350362746807931612952511807597993589460672143579215127549","https://assets.sorare.com/player/329f1410-bede-4092-8457-8e5956ea9651/picture/avatar-70f3ccdd98124c48c737ea3ba7af946e.png","Javier Cabrera","Forward  - 31","51.0","100%  PLAYED","56.3","93%  PLAYED","50.6","93%  PLAYED","Ξ 0,0095","3-day average","Ξ 0,0871","3-day average","Ξ 0,184","Last public sale"
