3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
163rd,Gaëtan Coucke,Goalkeeper  - 24,45.0,"Ξ 0,0535"
164th,Hugo Lloris,Goalkeeper  - 36,44.9,"Ξ 0,200"
165th,Novatus Miroshi,Midfielder  - 20,44.8,"Ξ 0,0073"
166th,Ryan Edwards,Defender  - 29,44.8,"Ξ 0,0015"
167th,Isaac Mbenza,Forward  - 26,44.8,"Ξ 0,0062"
168th,Ethan Erhahon,Midfielder  - 21,44.6,"Ξ 0,0027"
169th,Tatsuhiro Sakamoto,Midfielder  - 26,44.5,"Ξ 0,0015"
170th,Pieter Gerkens,Midfielder  - 27,44.5,"Ξ 0,0017"
171st,Dino Hotič,Midfielder  - 27,44.4,"Ξ 0,0123"
172nd,Ivan Banić,Goalkeeper  - 28,44.4,"Ξ 0,0250"
173rd,Phil Foden,Midfielder  - 22,44.4,No sale
174th,Hendrik Van Crombrugge,Goalkeeper  - 29,44.4,"Ξ 0,0417"
175th,Konan Jocelyn N’Dri,Forward  - 22,44.1,"Ξ 0,0078"
176th,Rune Paeshuyse,Defender  - 20,44.0,"Ξ 0,0086"
177th,Connor Barron,Midfielder  - 20,44.0,"Ξ 0,0061"
178th,Mathieu Cachbach,Midfielder  - 21,43.9,"Ξ 0,0026"
179th,Tony Watt,Forward  - 29,43.8,"Ξ 0,0016"
180th,Sinan Bolat,Goalkeeper  - 34,43.7,"Ξ 0,0367"
181st,Alessio da Cruz,Forward  - 25,43.7,No sale
182nd,Fábio Silva,Forward  - 20,43.6,No sale
183rd,Joe Hart,Goalkeeper  - 35,43.5,"Ξ 0,0778"
184th,Jurica Pršir,Midfielder  - 22,43.4,"Ξ 0,0028"
185th,Bruce Anderson,Forward  - 24,43.3,"Ξ 0,0070"
186th,Andrew Hjulsager,Midfielder  - 28,43.3,"Ξ 0,0042"
187th,Daiki Hashioka,Defender  - 23,43.2,"Ξ 0,0031"
188th,Tajon Buchanan,Forward  - 23,43.2,"Ξ 0,0257"
189th,Valentin Cojocaru,Goalkeeper  - 27,43.2,"Ξ 0,0473"
190th,David Bates,Defender  - 26,43.1,No sale
191st,Alexander Cochrane,Defender  - 22,43.1,"Ξ 0,0043"
192nd,Yuki Kobayashi,Defender  - 22,43.0,"Ξ 0,0079"
193rd,Bojan Miovski,Forward  - 23,42.9,"Ξ 0,0126"
194th,Daan Heymans,Midfielder  - 23,42.9,"Ξ 0,0037"
195th,Yentl Van Genechten,Defender  - 22,42.8,"Ξ 0,0026"
196th,Mathias Fixelles,Midfielder  - 26,42.7,"Ξ 0,0032"
197th,Majeed Ashimeru,Midfielder  - 25,42.6,"Ξ 0,0140"
198th,Matija Kolarić,Midfielder  - 26,42.5,"Ξ 0,0021"
199th,Antoine Bernier,Midfielder  - 25,42.5,"Ξ 0,0023"
200th,Benjamin Davies,Defender  - 29,42.5,No sale
201st,Agon Elezi,Midfielder  - 21,42.4,"Ξ 0,0027"
202nd,Abdoulaye Sissako,Midfielder  - 24,42.4,"Ξ 0,0017"
203rd,Michael Murillo,Defender  - 26,42.0,"Ξ 0,0061"
204th,Liel Abada,Forward  - 21,41.7,"Ξ 0,0279"
205th,Francis Amuzu,Midfielder  - 23,41.6,"Ξ 0,0082"
206th,Curtis Main,Forward  - 30,41.5,"Ξ 0,0039"
207th,Boris Popović,Defender  - 22,41.5,"Ξ 0,0034"
208th,Nick Bätzner,Midfielder  - 22,41.1,"Ξ 0,0036"
209th,Krešimir Krizmanić,Defender  - 22,41.1,"Ξ 0,0020"
210th,Alan Power,Midfielder  - 34,40.9,"Ξ 0,0005"
211th,Lewis Mayo,Defender  - 22,40.8,"Ξ 0,0031"
212th,Kieran Freeman,Defender  - 22,40.8,"Ξ 0,0016"
213th,João Cancelo,Defender  - 28,40.7,No sale
214th,Kristof D'Haene,Defender  - 32,40.6,"Ξ 0,0006"
215th,Anton Tanghe,Defender  - 23,40.6,"Ξ 0,0012"
216th,Tuur Dierckx,Forward  - 27,40.5,No sale
217th,Jón Dagur Thorsteinsson,Forward  - 24,40.2,"Ξ 0,0044"
218th,James Jeggo,Midfielder  - 30,40.0,"Ξ 0,0011"
219th,Ian Harkes,Midfielder  - 27,39.9,"Ξ 0,0017"
220th,Jesper Daland,Defender  - 23,39.8,"Ξ 0,0065"
221st,Gary Magnée,Midfielder  - 23,39.8,"Ξ 0,0033"
222nd,Modou Tambedou,Midfielder  - 19,39.8,"Ξ 0,0032"
223rd,Toby Sibbick,Defender  - 23,39.6,"Ξ 0,0076"
224th,Kelle Roos,Goalkeeper  - 30,39.4,"Ξ 0,0448"
225th,Jason Davidson,Defender  - 31,39.3,"Ξ 0,0014"
226th,Sandy Walsh,Defender  - 27,39.0,"Ξ 0,0014"
227th,Kenny Rocha Santos,Midfielder  - 23,38.9,"Ξ 0,0018"
228th,Jason Holt,Midfielder  - 29,38.8,"Ξ 0,0017"
229th,Isaac Nuhu,Midfielder  - 21,38.6,"Ξ 0,0035"
230th,Gojko Cimirot,Midfielder  - 30,38.5,"Ξ 0,0011"
231st,Luka Jelenić,Defender  - 22,38.3,"Ξ 0,0035"
232nd,Greg Kiltie,Midfielder  - 25,38.2,"Ξ 0,0015"
233rd,Giorgos Giakoumakis,Forward  - 28,38.1,"Ξ 0,0319"
234th,Andris Herrera,Forward  - 26,38.1,"Ξ 0,0014"
235th,Morgan Poaty,Defender  - 25,38.0,"Ξ 0,0008"
236th,Trevor Carson,Goalkeeper  - 34,38.0,"Ξ 0,0304"
237th,Oliver Zelenika,Goalkeeper  - 29,37.9,"Ξ 0,0319"
238th,Ross McCrorie,Midfielder  - 24,37.9,"Ξ 0,0016"
239th,Alessandro Ciranni,Defender  - 26,37.8,"Ξ 0,0013"
240th,Andrew Shinnie,Midfielder  - 33,37.7,"Ξ 0,0037"
241st,Jackson Tchatchoua,Midfielder  - 21,37.7,"Ξ 0,0022"
242nd,Abdoulaye Sylla,Defender  - 22,37.6,"Ξ 0,0018"
243rd,Smail Prevljak,Forward  - 27,37.4,"Ξ 0,0146"
244th,Cameron Puertas,Midfielder  - 24,37.4,"Ξ 0,0033"
245th,Fabrice Sambu,Defender  - 26,37.3,"Ξ 0,0026"
246th,Ritchie De Laet,Defender  - 34,37.3,"Ξ 0,0037"
247th,Ali Gholizadeh,Midfielder  - 26,37.3,"Ξ 0,0035"
248th,Joey Suk,Midfielder  - 33,37.1,"Ξ 0,0009"
249th,Kristian Arnstad,Midfielder  - 19,36.4,"Ξ 0,0085"
250th,Stéphane Oméonga,Midfielder  - 26,36.3,"Ξ 0,0016"
251st,Stipe Perica,Forward  - 27,35.9,No sale
252nd,Keanu Baccus,Midfielder  - 24,35.8,No sale
253rd,Scott Tanser,Defender  - 28,35.8,"Ξ 0,0008"
254th,Ayomide Obileye,Defender  - 28,35.8,"Ξ 0,0008"
255th,Rory McKenzie,Midfielder  - 29,35.8,"Ξ 0,0009"
256th,Denis Drăguş,Forward  - 23,35.6,"Ξ 0,0033"
257th,Marcus Fraser,Defender  - 28,35.6,"Ξ 0,0009"
258th,Hayden Coulson,Defender  - 24,35.5,"Ξ 0,0021"
259th,Charles Dunne,Defender  - 29,35.5,"Ξ 0,0007"
260th,Sambou Sissoko,Midfielder  - 23,35.4,"Ξ 0,0035"
261st,Mario Stroeykens,Midfielder  - 18,35.1,"Ξ 0,0170"
262nd,Jonah Ayunga,Forward  - 25,34.0,"Ξ 0,0014"
263rd,David Atanga,Forward  - 26,34.0,"Ξ 0,0033"
264th,Chinonso Offor,Forward  - 22,33.2,"Ξ 0,0031"
265th,Joren Dom,Defender  - 33,33.0,"Ξ 0,0005"
266th,Yonas Malede,Forward  - 23,32.6,"Ξ 0,0037"
267th,Matúš Vojtko,Defender  - 22,32.1,"Ξ 0,0007"
268th,Alan Forrest,Forward  - 26,31.8,"Ξ 0,0024"
269th,Mbwana Samatta,Forward  - 30,31.5,No sale
270th,Daniel Opare,Defender  - 32,31.2,"Ξ 0,0007"
271st,Kyan Vaesen,Forward  - 21,31.0,"Ξ 0,0026"
272nd,Stan Van Dessel,Midfielder  - 21,30.7,"Ξ 0,0012"
273rd,Dylan Mbayo,Forward  - 21,29.3,"Ξ 0,0016"
274th,James Penrice,Defender  - 24,28.9,"Ξ 0,0012"
275th,Scott Pittman,Midfielder  - 30,27.6,"Ξ 0,0008"
276th,Sérgio Conceição,Defender  - 26,26.2,"Ξ 0,0005"
277th,Leroy Abanda Mfomo,Defender  - 22,24.8,"Ξ 0,0006"
